# #Nulldurchgänge Brechungsindex
4.200000000000000000e+01 1.657566511527781561e+00
3.800000000000000000e+01 1.559878523068607192e+00
3.500000000000000000e+01 1.493848999021778479e+00
3.500000000000000000e+01 1.493848999021778479e+00
3.800000000000000000e+01 1.559878523068607192e+00
3.500000000000000000e+01 1.493848999021778479e+00
3.600000000000000000e+01 1.515228834542572178e+00
3.700000000000000000e+01 1.537229528385192445e+00
3.700000000000000000e+01 1.537229528385192445e+00
3.600000000000000000e+01 1.515228834542572178e+00
